species_name,taxonomic_family,asdawas,beak_length,nocturnal_diurnal,is_nocturnal,primary_diet
Haemorhous mexicanus,Fringillidae,8.91156072292315,1.2084595336364423,Diurnal,0,seeds
Pica pica,Corvidae,18.831008742960407,3.464735162654236,Diurnal,0,insects
Pica pica,Corvidae,21.63353417277567,3.5949562606268004,Diurnal,0,insects
Pica pica,Corvidae,23.18382963142322,3.4700125485006303,Diurnal,0,insects
Haemorhous mexicanus,Fringillidae,10.638866645642471,1.0719910850988563,Diurnal,0,seeds
Strix varia,Strigidae,37.33262552997259,4.585921518980133,Nocturnal,1,insects
Gavia immer,Gaviidae,71.67413910477201,9.29676679607718,Diurnal,0,fish
Cygnus olor,Anatidae,126.71375640094358,9.40921422520799,Diurnal,0,plants
Gavia immer,Gaviidae,67.97931055986457,9.245940487245363,Diurnal,0,fish
Gavia immer,Gaviidae,65.97944177598126,10.009747283891056,Diurnal,0,fish
Gavia immer,Gaviidae,67.01345272263245,9.2948597275039,Diurnal,0,fish
Strix varia,Strigidae,35.17036297578529,4.407034383070856,Nocturnal,1,insects
Gavia immer,Gaviidae,70.59266748199667,9.351398134028289,Diurnal,0,fish
Cygnus olor,Anatidae,120.81718090630744,9.424229410454677,Diurnal,0,plants
Gavia immer,Gaviidae,70.37152240086678,9.675667245308036,Diurnal,0,fish
Strix varia,Strigidae,35.526082675883536,4.16147327105902,Nocturnal,1,insects
Cygnus olor,Anatidae,116.30380856254946,10.307629940178693,Diurnal,0,plants
Gavia immer,Gaviidae,76.50128680890559,9.331412381789033,Diurnal,0,fish
Strix varia,Strigidae,32.86739766234662,4.397718281766266,Nocturnal,1,insects
Pica pica,Corvidae,18.26771342112966,3.5673716841884224,Diurnal,0,insects
Cygnus olor,Anatidae,118.71334434397778,9.986410785592971,Diurnal,0,plants
Pica pica,Corvidae,18.2131001222482,3.1362407367890097,Diurnal,0,insects
Strix varia,Strigidae,36.73250435376591,4.458351651049404,Nocturnal,1,insects
Gavia immer,Gaviidae,72.775620068724,9.36191851803561,Diurnal,0,fish
Pica pica,Corvidae,20.909784199842527,3.5522044765824714,Diurnal,0,insects
Pica pica,Corvidae,20.207460881366806,3.671951802581874,Diurnal,0,insects
Gavia immer,Gaviidae,77.98280217415291,8.74663031316906,Diurnal,0,fish
Cygnus olor,Anatidae,114.89320498552418,11.145849821257912,Diurnal,0,plants
Gavia immer,Gaviidae,62.70326917073853,9.818604662201109,Diurnal,0,fish
Gavia immer,Gaviidae,71.53212556576149,9.763727157644327,Diurnal,0,fish
Gavia immer,Gaviidae,70.21803630934411,9.98029302201001,Diurnal,0,fish
Pica pica,Corvidae,19.87622671169276,3.14899190566589,Diurnal,0,insects
Strix varia,Strigidae,32.05088452278996,4.541594424581118,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,11.003118016780212,1.2073149881411984,Diurnal,0,seeds
Gavia immer,Gaviidae,70.28017972467897,9.938854366451404,Diurnal,0,fish
Gavia immer,Gaviidae,64.82938191659314,9.329145828504222,Diurnal,0,fish
Pica pica,Corvidae,22.82051977538373,3.3122172693899232,Diurnal,0,insects
Gavia immer,Gaviidae,71.46085789587063,9.282715443692652,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,8.1504686218003,1.2572209664241067,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.603125661534758,1.2396502067797683,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.645072166333485,1.2642599183637366,Diurnal,0,seeds
Strix varia,Strigidae,35.67299681549403,4.104597801392907,Nocturnal,1,insects
Cygnus olor,Anatidae,109.5159667136124,10.79795980481478,Diurnal,0,plants
Cygnus olor,Anatidae,119.2080285065365,10.14425804594539,Diurnal,0,plants
Strix varia,Strigidae,28.493245860902167,4.260267753050837,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,10.08557483398082,1.060260597164809,Diurnal,0,seeds
Pica pica,Corvidae,20.72728662307667,3.448356258885729,Diurnal,0,insects
Cygnus olor,Anatidae,112.40664540736246,9.872677199214635,Diurnal,0,plants
Gavia immer,Gaviidae,56.12173323330423,9.890865129817367,Diurnal,0,fish
Pica pica,Corvidae,23.763160054331063,3.628997505633816,Diurnal,0,insects
Haemorhous mexicanus,Fringillidae,9.17316243999564,1.3295613934475496,Diurnal,0,seeds
Cygnus olor,Anatidae,108.04646806438676,10.323577292770617,Diurnal,0,plants
Pica pica,Corvidae,22.891641919177616,3.2377973906991655,Diurnal,0,insects
Strix varia,Strigidae,35.28154379470322,3.683519746373676,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,10.259613727614145,1.1468903549108722,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.961590160928742,1.2094660743695538,Diurnal,0,seeds
Cygnus olor,Anatidae,113.93982503054882,10.055154354438146,Diurnal,0,plants
Gavia immer,Gaviidae,70.38811296424802,9.449883029213614,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,10.732555699872972,1.1764947117304938,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,11.248576735920338,1.1807288262903304,Diurnal,0,seeds
Pica pica,Corvidae,19.85491664805383,3.644320431546495,Diurnal,0,insects
Gavia immer,Gaviidae,69.80207222131875,9.913177704376617,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,10.16519994476696,1.2006209084294224,Diurnal,0,seeds
Gavia immer,Gaviidae,73.9222272386382,9.764751141407276,Diurnal,0,fish
Gavia immer,Gaviidae,70.16877623985295,9.662698465632884,Diurnal,0,fish
Strix varia,Strigidae,38.32867218913009,4.28431823495733,Nocturnal,1,insects
Strix varia,Strigidae,33.24581651229651,4.067113210755571,Nocturnal,1,insects
Strix varia,Strigidae,36.94703180111805,4.6072808420263325,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,10.11400043874207,1.088979740192591,Diurnal,0,seeds
Gavia immer,Gaviidae,61.59700171745425,9.662754519898304,Diurnal,0,fish
Strix varia,Strigidae,35.33280049209287,4.117151878752927,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,9.716437106447597,1.1149790115189713,Diurnal,0,seeds
Pica pica,Corvidae,20.220256093578335,3.5692244846248453,Diurnal,0,insects
Haemorhous mexicanus,Fringillidae,8.751103218288801,1.3253011111557251,Diurnal,0,seeds
Cygnus olor,Anatidae,113.5754162460588,10.077499047305755,Diurnal,0,plants
Haemorhous mexicanus,Fringillidae,10.907637134134596,1.2276013650549806,Diurnal,0,seeds
Pica pica,Corvidae,20.10613735294281,3.433863278407217,Diurnal,0,insects
Cygnus olor,Anatidae,121.98688670218831,10.101416162941748,Diurnal,0,plants
Gavia immer,Gaviidae,71.26996749580233,9.76945589230114,Diurnal,0,fish
Strix varia,Strigidae,38.10527339817246,4.223649314834264,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,11.280787413075425,1.134189610471762,Diurnal,0,seeds
Gavia immer,Gaviidae,78.15223629653653,9.266793006790897,Diurnal,0,fish
Pica pica,Corvidae,22.455547587215253,3.734180711313883,Diurnal,0,insects
Cygnus olor,Anatidae,112.22854685069746,10.42925661294026,Diurnal,0,plants
Strix varia,Strigidae,33.660780521907625,4.3231690693769,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,10.648684701221397,1.172571054807756,Diurnal,0,seeds
Strix varia,Strigidae,41.63289584992813,3.878501480525487,Nocturnal,1,insects
Pica pica,Corvidae,17.207300610392327,3.2655580147469614,Diurnal,0,insects
Strix varia,Strigidae,38.38514898732823,4.04410407153404,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,11.411788826061146,1.0281937066747493,Diurnal,0,seeds
Strix varia,Strigidae,27.17000826915282,4.071560177857409,Nocturnal,1,insects
Cygnus olor,Anatidae,104.82737984916368,10.43154508973113,Diurnal,0,plants
Haemorhous mexicanus,Fringillidae,9.0524411226504,1.048629053222677,Diurnal,0,seeds
Cygnus olor,Anatidae,123.4963092416408,9.568364289739437,Diurnal,0,plants
Strix varia,Strigidae,36.2882589892543,4.03997282070989,Nocturnal,1,insects
Cygnus olor,Anatidae,126.19099357331004,10.287471522443631,Diurnal,0,plants
Cygnus olor,Anatidae,103.0082330699292,9.380592879424746,Diurnal,0,plants
Haemorhous mexicanus,Fringillidae,8.145948912657719,1.224194605303827,Diurnal,0,seeds
Pica pica,Corvidae,18.14661174621789,3.5213387142296173,Diurnal,0,insects
Pica pica,Corvidae,20.31913469782064,3.461750659612614,Diurnal,0,insects
Gavia immer,Gaviidae,70.71532373721328,9.60758144816644,Diurnal,0,fish
Gavia immer,Gaviidae,70.58260348031368,9.719107142838215,Diurnal,0,fish
Strix varia,Strigidae,36.027386638498896,3.938033627707848,Nocturnal,1,insects
Cygnus olor,Anatidae,129.21767593769252,10.172846444920449,Diurnal,0,plants
Strix varia,Strigidae,36.71360987043244,3.948825555372854,Nocturnal,1,insects
Strix varia,Strigidae,34.81161033042704,3.687026406383186,Nocturnal,1,insects
Gavia immer,Gaviidae,66.61895967026743,9.614315189035793,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,9.293837820401562,1.2084120801544411,Diurnal,0,seeds
Strix varia,Strigidae,33.970345211498945,4.1409220917620075,Nocturnal,1,insects
Strix varia,Strigidae,34.80680044588963,3.893300295163112,Nocturnal,1,insects
Gavia immer,Gaviidae,75.04158324359732,9.231629085160789,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,10.186945192826002,1.2103163952182447,Diurnal,0,seeds
Strix varia,Strigidae,36.99412150705175,4.163988252540596,Nocturnal,1,insects
Strix varia,Strigidae,36.48460186365531,4.4916354162866226,Nocturnal,1,insects
Cygnus olor,Anatidae,118.50377435032672,9.96617510560806,Diurnal,0,plants
Pica pica,Corvidae,22.67369091512841,3.629151045134774,Diurnal,0,insects
Pica pica,Corvidae,16.669542448085497,3.3650929449088203,Diurnal,0,insects
Cygnus olor,Anatidae,118.588564462403,10.73852203504129,Diurnal,0,plants
Gavia immer,Gaviidae,66.4616143376019,9.383160854014042,Diurnal,0,fish
Cygnus olor,Anatidae,135.37804532298475,9.997476620292478,Diurnal,0,plants
Haemorhous mexicanus,Fringillidae,9.711932773042932,1.1148552469163724,Diurnal,0,seeds
Strix varia,Strigidae,34.57224339411247,4.220700731889565,Nocturnal,1,insects
Pica pica,Corvidae,17.80054110948051,3.6076163803418257,Diurnal,0,insects
Haemorhous mexicanus,Fringillidae,8.68637132230992,1.277368296348133,Diurnal,0,seeds
Gavia immer,Gaviidae,81.26074321179136,10.099682125614656,Diurnal,0,fish
Pica pica,Corvidae,23.90548664791312,3.3961290636602324,Diurnal,0,insects
Haemorhous mexicanus,Fringillidae,9.369151231129138,1.1525413426187188,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,11.347899217379728,1.1008156491980026,Diurnal,0,seeds
Strix varia,Strigidae,31.74604120704745,4.133206346237694,Nocturnal,1,insects
Strix varia,Strigidae,31.45285062045716,4.697470606964694,Nocturnal,1,insects
Strix varia,Strigidae,32.141720884751365,4.117803460803487,Nocturnal,1,insects
Cygnus olor,Anatidae,114.5229848207774,10.302845934147372,Diurnal,0,plants
Haemorhous mexicanus,Fringillidae,9.455054519177711,1.2532287292394,Diurnal,0,seeds
Gavia immer,Gaviidae,66.01081160041797,9.343226498076202,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,9.59899614197803,1.1605738497855886,Diurnal,0,seeds
Cygnus olor,Anatidae,131.40609193588426,11.116954348717035,Diurnal,0,plants
Pica pica,Corvidae,18.61975864047529,3.6423734139974178,Diurnal,0,insects
Gavia immer,Gaviidae,70.48369277545957,9.410931230108304,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,9.835936057284613,1.1455144458222786,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.445024807366051,1.329213172756344,Diurnal,0,seeds
Pica pica,Corvidae,17.75724649553387,3.311595939799148,Diurnal,0,insects
Strix varia,Strigidae,35.9325793406962,4.474466749815724,Nocturnal,1,insects
Strix varia,Strigidae,38.60585863789136,4.744245829617848,Nocturnal,1,insects
Pica pica,Corvidae,20.919668345281927,3.5322965759239024,Diurnal,0,insects
Pica pica,Corvidae,16.26063538238924,3.940743929962327,Diurnal,0,insects
Pica pica,Corvidae,19.891982363907264,3.5079254697230504,Diurnal,0,insects
Cygnus olor,Anatidae,132.42946046405277,10.63811127149486,Diurnal,0,plants
Haemorhous mexicanus,Fringillidae,8.919694434115206,1.0399498941895666,Diurnal,0,seeds
Pica pica,Corvidae,16.537645320849165,3.3742679204198747,Diurnal,0,insects
Gavia immer,Gaviidae,70.28560804656861,9.768964665735622,Diurnal,0,fish
Strix varia,Strigidae,34.02199552544171,3.922928924947522,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,10.131766545026773,1.153865630820003,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,10.691210874213168,1.1851891502350425,Diurnal,0,seeds
Gavia immer,Gaviidae,67.11746514553255,9.482444041521225,Diurnal,0,fish
Pica pica,Corvidae,21.00142269259692,3.2915097577792563,Diurnal,0,insects
Cygnus olor,Anatidae,128.99793709423506,10.293999164897524,Diurnal,0,plants
Haemorhous mexicanus,Fringillidae,9.111431715544333,1.0247735544765495,Diurnal,0,seeds
Strix varia,Strigidae,31.08423294487412,3.806704907791994,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,9.573128104071232,1.0518836330634884,Diurnal,0,seeds
Cygnus olor,Anatidae,111.4628194778282,9.787966295468818,Diurnal,0,plants
Strix varia,Strigidae,35.98224278723345,4.314462865958306,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,10.58351698322679,1.0752795826438932,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,8.455748637058681,1.1460588086187695,Diurnal,0,seeds
Gavia immer,Gaviidae,62.34981334643141,9.761712070146586,Diurnal,0,fish
Pica pica,Corvidae,19.942592577514887,3.417786825658562,Diurnal,0,insects
Cygnus olor,Anatidae,129.30459489207408,10.447774295742152,Diurnal,0,plants
Gavia immer,Gaviidae,78.1948963152791,9.053571175908738,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,8.00252919348364,1.3021715732562078,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,10.03337836951988,1.2373690828034063,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,11.466136438121772,1.2247670183880854,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,11.517954659089376,1.1973145208712892,Diurnal,0,seeds
Pica pica,Corvidae,21.105910356337645,3.520854716030632,Diurnal,0,insects
Strix varia,Strigidae,35.71045224182413,4.2406270681296006,Nocturnal,1,insects
Cygnus olor,Anatidae,125.55520907583563,10.442146006247787,Diurnal,0,plants
Gavia immer,Gaviidae,63.04074072362244,9.881653971493556,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,9.86407528893374,1.1477614798966953,Diurnal,0,seeds
Gavia immer,Gaviidae,72.94835305530258,9.901478662127015,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,11.869712053751032,1.2383356246021848,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.023064955303717,1.3488275068435935,Diurnal,0,seeds
Strix varia,Strigidae,29.008598617497928,4.165414195309103,Nocturnal,1,insects
Strix varia,Strigidae,33.99669470960269,4.167410905669745,Nocturnal,1,insects
Pica pica,Corvidae,18.85711509718905,3.631211155990561,Diurnal,0,insects
Pica pica,Corvidae,20.22259759368483,3.257846291089622,Diurnal,0,insects
Strix varia,Strigidae,35.248600008438366,3.776053925673651,Nocturnal,1,insects
Strix varia,Strigidae,34.87543616747275,4.430874764717607,Nocturnal,1,insects
Strix varia,Strigidae,37.11470339411587,4.515909919395264,Nocturnal,1,insects
Cygnus olor,Anatidae,102.75350531083612,10.58008819656952,Diurnal,0,plants
Pica pica,Corvidae,19.518332895689827,3.512922320318245,Diurnal,0,insects
Strix varia,Strigidae,37.379808704314854,4.316389790129927,Nocturnal,1,insects
Pica pica,Corvidae,19.056354470454327,3.671977277019119,Diurnal,0,insects
Gavia immer,Gaviidae,79.48682781497203,9.110008376894427,Diurnal,0,fish
Gavia immer,Gaviidae,67.06991924704316,9.996522648193825,Diurnal,0,fish
Gavia immer,Gaviidae,75.72728464098488,9.416285111067344,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,10.155262313709176,0.9856824993741432,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.901957336390153,1.3608251376886884,Diurnal,0,seeds
Cygnus olor,Anatidae,118.8916738923706,10.300631191793803,Diurnal,0,plants
Pica pica,Corvidae,18.646732182715084,3.413376281653529,Diurnal,0,insects
Haemorhous mexicanus,Fringillidae,8.16847997273712,1.314684614801358,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,8.93951701009869,1.2485250432156132,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.865364277322325,1.2083967084850076,Diurnal,0,seeds
